42	31	1	75
40	42	1	112
38	48	1	68
40	48	1	80
44	49	1	70
32	32	1	99
36	27	1	65
32	56	1	93
40	44	1	71
39	48	1	63
8	20	0	63
31	43	1	71
42	43	1	96
38	25	1	89
5	22	0	68
29	39	1	74
39	54	1	74
11	20	0	62
41	20	1	107
13	45	1	104
10	25	0	74
41	47	1	80
41	59	1	74
36	30	1	75
34	55	1	64
39	30	1	68
24	55	1	64
42	50	1	95
7	25	0	15
37	42	1	75
10	20	0	43
37	55	1	66
38	53	1	71
2	49	0	17
9	22	0	16
39	30	1	65
9	20	0	63
45	40	1	65
6	20	0	24
4	20	0	66
13	29	0	15
45	60	1	67
9	29	0	69
36	24	1	75
30	40	1	73
9	26	1	40
34	20	1	60
42	46	1	85
9	20	0	61
46	44	1	74
11	20	0	24
35	32	1	76
3	20	0	61
13	21	0	71
33	49	1	106
1	25	0	66
33	57	1	64
11	20	0	42
43	46	1	69
5	45	0	63
5	22	0	61
7	22	0	60
35	43	1	73
39	23	1	62
36	51	1	105
41	46	1	67
42	32	1	76
53	26	1	71
41	36	1	112
29	47	1	71
40	50	1	100
45	55	1	67
9	20	0	63
41	52	1	101
34	44	1	103
35	36	1	76
28	59	1	73
11	27	0	62
43	43	1	112
3	58	0	57
30	51	1	69
31	53	1	104
7	23	0	57
35	45	1	101
40	38	1	65
14	23	0	54
32	56	1	69
11	20	0	29
38	38	1	64
33	46	1	60
38	29	1	69
7	34	0	22
35	36	1	71
11	23	0	67
41	47	1	69
40	57	1	56
10	31	0	45
28	48	1	66
42	56	1	104
14	24	0	33
37	49	1	112
39	35	1	107
4	20	0	70
12	20	0	78
33	35	1	55
31	25	1	107
80	37	1	109
27	48	1	59
36	28	1	78
4	50	0	59
39	49	1	70
11	33	0	61
15	20	0	64
40	32	1	68
5	33	0	59
9	42	0	76
36	58	1	107
42	48	1	71
42	59	1	71
40	52	1	109
37	25	1	69
39	52	1	109
9	30	0	71
1	20	0	62
36	44	1	102
33	42	1	103
38	33	1	70
35	49	1	105
3	45	0	67
7	20	0	41
4	38	0	59
37	46	1	72
34	50	1	70
5	29	0	64
39	46	1	68
4	20	0	66
44	45	1	105
1	20	0	19
40	48	1	74
6	23	0	60
37	27	1	72
35	23	1	77
36	58	1	106
4	51	0	65
36	42	1	112
8	31	0	66
8	20	0	60
42	44	1	68
33	42	1	80
11	24	0	65
32	58	1	99
34	20	1	77
42	52	1	112
34	26	1	71
35	35	1	107
32	43	1	112
13	26	0	36
7	20	0	63
41	53	1	109
6	20	0	62
4	20	0	58
38	49	1	72
34	56	1	63
11	24	0	60
8	32	0	57
30	32	1	77
10	20	0	66
5	29	0	73
28	29	1	111
37	53	1	100
33	38	1	104
40	37	1	77
46	42	1	75
36	45	1	67
38	53	1	69
38	49	1	56
43	48	1	101
2	20	0	73
43	47	1	80
41	38	1	107
6	26	0	24
7	20	0	62
39	25	1	68
10	30	0	61
41	46	1	100
30	27	1	73
42	50	1	71
36	52	1	65
34	47	1	70
36	47	1	73
5	26	1	72
13	20	0	66
16	20	0	32
39	51	1	72
40	44	1	97
29	50	1	75
36	36	1	63
9	23	0	64
31	40	1	62
2	24	0	18
2	20	0	34
34	60	1	73
3	20	0	24
12	20	0	65
39	49	1	75
38	35	1	68
44	43	1	63
8	24	0	68
21	26	1	69
34	60	1	66
4	25	0	15
11	20	0	29
5	38	0	66
42	43	1	72
6	25	0	20
44	48	1	99
36	52	1	97
4	27	0	71
38	44	1	73
44	37	1	72
31	45	1	76
7	20	0	70
5	20	0	55
13	20	0	77
33	46	1	79
39	47	1	55
40	43	1	66
2	27	0	74
10	20	0	63
38	42	1	66
13	22	0	65
10	27	0	55
3	20	0	20
1	20	0	15
37	30	1	93
4	29	0	67
33	45	1	69
40	47	1	72
34	43	1	69
44	48	1	73
3	31	0	21
1	28	0	60
47	44	1	92
15	20	0	20
10	23	0	60
5	20	0	23
6	27	0	69
8	25	0	63
3	20	0	23
33	49	1	61
42	50	1	111
42	53	1	75
4	28	0	73
1	20	0	67
8	23	0	69
39	24	1	75
41	49	1	63
36	42	1	105
42	48	1	112
6	28	0	59
32	23	1	106
25	46	1	70
34	50	1	65
9	26	0	70
45	38	1	96
48	41	1	77
3	40	0	73
1	20	0	66
80	20	0	44
31	58	1	94
33	27	1	61
40	48	1	74
7	20	0	27
37	48	1	61
39	29	1	58
32	44	1	105
12	20	0	34
8	26	0	71
42	26	1	101
5	20	0	63
44	25	1	71
14	20	0	24
38	53	1	102
39	32	1	98
35	57	1	61
11	26	0	23
5	30	0	15
37	40	1	79
40	57	1	69
39	41	1	69
32	58	1	70
37	57	1	63
3	27	0	51
10	26	0	73
11	28	0	78
35	45	1	73
33	23	1	105
37	46	1	63
35	44	1	100
37	43	1	69
31	46	1	99
11	20	0	60
40	38	1	105
1	21	0	73
40	43	1	68
8	52	1	99
35	49	1	100
37	41	1	73
48	44	1	17
35	39	1	66
37	41	1	75
34	26	1	103
3	20	0	67
10	29	0	72
9	20	0	31
38	47	1	107
4	20	0	60
8	20	0	21
11	20	0	72
80	46	1	74
42	45	1	101
41	47	1	94
10	20	0	72
8	20	0	28
1	28	0	67
3	20	0	27
1	20	0	23
42	46	1	94
38	39	1	101
32	45	1	94
10	20	0	69
8	20	0	62
11	34	0	65
6	20	0	78
39	42	1	109
9	23	0	61
3	29	1	72
1	20	0	69
45	45	1	112
2	20	0	72
35	50	1	96
35	47	1	104
36	50	1	70
11	20	0	25
40	44	1	68
4	24	0	57
42	38	1	63
39	54	1	82
10	27	0	15
8	20	0	53
